src_global,dst_global,src_type,dst_type,edge_type,weight
7,9,device,device,flow,0.9728632236882232
9,7,device,device,flow,0.9728632236882232
10,15,device,device,flow,0.9923884562864939
15,10,device,device,flow,0.9923884562864939
10,16,device,device,flow,0.9905364236664238
16,10,device,device,flow,0.9905364236664238
10,19,device,device,flow,0.9933710277450191
19,10,device,device,flow,0.9933710277450191
10,21,device,device,flow,0.8575769663591069
21,10,device,device,flow,0.8575769663591069
12,41,device,device,flow,0.8166569920415301
41,12,device,device,flow,0.8166569920415301
12,43,device,device,flow,0.762970582076201
43,12,device,device,flow,0.762970582076201
14,32,device,device,flow,-0.8790705898779652
32,14,device,device,flow,-0.8790705898779652
15,16,device,device,flow,0.9780221562667435
16,15,device,device,flow,0.9780221562667435
15,19,device,device,flow,0.9966291742173929
19,15,device,device,flow,0.9966291742173929
15,21,device,device,flow,0.8598058705123203
21,15,device,device,flow,0.8598058705123203
16,19,device,device,flow,0.9853434798315863
19,16,device,device,flow,0.9853434798315863
16,21,device,device,flow,0.8506597731585235
21,16,device,device,flow,0.8506597731585235
19,21,device,device,flow,0.8632870986258327
21,19,device,device,flow,0.8632870986258327
23,24,device,device,flow,0.9777679867381243
24,23,device,device,flow,0.9777679867381243
23,27,device,device,flow,0.9492388672054127
27,23,device,device,flow,0.9492388672054127
23,31,device,device,flow,0.9633340787292316
31,23,device,device,flow,0.9633340787292316
24,27,device,device,flow,0.8943602614642662
27,24,device,device,flow,0.8943602614642662
24,31,device,device,flow,0.9808848973359333
31,24,device,device,flow,0.9808848973359333
26,56,device,device,flow,0.8335925068173861
56,26,device,device,flow,0.8335925068173861
27,31,device,device,flow,0.9025111844621633
31,27,device,device,flow,0.9025111844621633
33,41,device,device,flow,-0.7976846830431408
41,33,device,device,flow,-0.7976846830431408
33,42,device,device,flow,0.9783675086031267
42,33,device,device,flow,0.9783675086031267
33,44,device,device,flow,-0.7558997125832461
44,33,device,device,flow,-0.7558997125832461
34,44,device,device,flow,0.8988950353603726
44,34,device,device,flow,0.8988950353603726
34,45,device,device,flow,0.9906995049524168
45,34,device,device,flow,0.9906995049524168
34,46,device,device,flow,0.8729348416423011
46,34,device,device,flow,0.8729348416423011
34,47,device,device,flow,-0.9610584883406458
47,34,device,device,flow,-0.9610584883406458
34,48,device,device,flow,-0.9144138468254825
48,34,device,device,flow,-0.9144138468254825
34,51,device,device,flow,-0.9417095708836531
51,34,device,device,flow,-0.9417095708836531
34,53,device,device,flow,-0.943216956284284
53,34,device,device,flow,-0.943216956284284
41,42,device,device,flow,-0.7863018133785599
42,41,device,device,flow,-0.7863018133785599
42,44,device,device,flow,-0.813534015785205
44,42,device,device,flow,-0.813534015785205
42,47,device,device,flow,0.7775174865370391
47,42,device,device,flow,0.7775174865370391
42,53,device,device,flow,0.7800571981751279
53,42,device,device,flow,0.7800571981751279
44,45,device,device,flow,0.9043745604154305
45,44,device,device,flow,0.9043745604154305
44,46,device,device,flow,0.8098363304399916
46,44,device,device,flow,0.8098363304399916
44,47,device,device,flow,-0.9156492953873152
47,44,device,device,flow,-0.9156492953873152
44,48,device,device,flow,-0.815116002994901
48,44,device,device,flow,-0.815116002994901
44,51,device,device,flow,-0.9280334481090766
51,44,device,device,flow,-0.9280334481090766
44,53,device,device,flow,-0.9292214010984888
53,44,device,device,flow,-0.9292214010984888
45,46,device,device,flow,0.8757126469662435
46,45,device,device,flow,0.8757126469662435
45,47,device,device,flow,-0.965992705515608
47,45,device,device,flow,-0.965992705515608
45,48,device,device,flow,-0.9164024484511
48,45,device,device,flow,-0.9164024484511
45,51,device,device,flow,-0.9476113075592009
51,45,device,device,flow,-0.9476113075592009
45,53,device,device,flow,-0.9492849254369377
53,45,device,device,flow,-0.9492849254369377
46,47,device,device,flow,-0.8628716728507629
47,46,device,device,flow,-0.8628716728507629
46,48,device,device,flow,-0.8056343561432842
48,46,device,device,flow,-0.8056343561432842
46,51,device,device,flow,-0.8497418853361653
51,46,device,device,flow,-0.8497418853361653
46,53,device,device,flow,-0.8530513909147137
53,46,device,device,flow,-0.8530513909147137
47,48,device,device,flow,0.8841441261439512
48,47,device,device,flow,0.8841441261439512
47,51,device,device,flow,0.9681482493294793
51,47,device,device,flow,0.9681482493294793
47,53,device,device,flow,0.9727806347304812
53,47,device,device,flow,0.9727806347304812
48,51,device,device,flow,0.8327837240566391
51,48,device,device,flow,0.8327837240566391
48,53,device,device,flow,0.8417024478175649
53,48,device,device,flow,0.8417024478175649
51,53,device,device,flow,0.9978911030467493
53,51,device,device,flow,0.9978911030467493
54,56,device,device,flow,0.8127599876553545
56,54,device,device,flow,0.8127599876553545
