src_global,dst_global,src_type,dst_type,edge_type,weight
0,1,crp,plc,hierarchy,1.0
1,0,plc,crp,hierarchy,1.0
0,2,crp,plc,hierarchy,1.0
2,0,plc,crp,hierarchy,1.0
0,3,crp,plc,hierarchy,1.0
3,0,plc,crp,hierarchy,1.0
0,4,crp,plc,hierarchy,1.0
4,0,plc,crp,hierarchy,1.0
0,5,crp,plc,hierarchy,1.0
5,0,plc,crp,hierarchy,1.0
0,6,crp,plc,hierarchy,1.0
6,0,plc,crp,hierarchy,1.0
1,7,plc,device,hierarchy,1.0
7,1,device,plc,hierarchy,1.0
1,8,plc,device,hierarchy,1.0
8,1,device,plc,hierarchy,1.0
1,9,plc,device,hierarchy,1.0
9,1,device,plc,hierarchy,1.0
1,10,plc,device,hierarchy,1.0
10,1,device,plc,hierarchy,1.0
1,11,plc,device,hierarchy,1.0
11,1,device,plc,hierarchy,1.0
2,12,plc,device,hierarchy,1.0
12,2,device,plc,hierarchy,1.0
2,13,plc,device,hierarchy,1.0
13,2,device,plc,hierarchy,1.0
2,14,plc,device,hierarchy,1.0
14,2,device,plc,hierarchy,1.0
2,15,plc,device,hierarchy,1.0
15,2,device,plc,hierarchy,1.0
2,16,plc,device,hierarchy,1.0
16,2,device,plc,hierarchy,1.0
2,17,plc,device,hierarchy,1.0
17,2,device,plc,hierarchy,1.0
2,18,plc,device,hierarchy,1.0
18,2,device,plc,hierarchy,1.0
2,19,plc,device,hierarchy,1.0
19,2,device,plc,hierarchy,1.0
2,20,plc,device,hierarchy,1.0
20,2,device,plc,hierarchy,1.0
2,21,plc,device,hierarchy,1.0
21,2,device,plc,hierarchy,1.0
2,22,plc,device,hierarchy,1.0
22,2,device,plc,hierarchy,1.0
3,23,plc,device,hierarchy,1.0
23,3,device,plc,hierarchy,1.0
3,24,plc,device,hierarchy,1.0
24,3,device,plc,hierarchy,1.0
3,25,plc,device,hierarchy,1.0
25,3,device,plc,hierarchy,1.0
3,26,plc,device,hierarchy,1.0
26,3,device,plc,hierarchy,1.0
3,27,plc,device,hierarchy,1.0
27,3,device,plc,hierarchy,1.0
3,28,plc,device,hierarchy,1.0
28,3,device,plc,hierarchy,1.0
3,29,plc,device,hierarchy,1.0
29,3,device,plc,hierarchy,1.0
3,30,plc,device,hierarchy,1.0
30,3,device,plc,hierarchy,1.0
3,31,plc,device,hierarchy,1.0
31,3,device,plc,hierarchy,1.0
4,32,plc,device,hierarchy,1.0
32,4,device,plc,hierarchy,1.0
4,33,plc,device,hierarchy,1.0
33,4,device,plc,hierarchy,1.0
4,34,plc,device,hierarchy,1.0
34,4,device,plc,hierarchy,1.0
4,35,plc,device,hierarchy,1.0
35,4,device,plc,hierarchy,1.0
4,36,plc,device,hierarchy,1.0
36,4,device,plc,hierarchy,1.0
4,37,plc,device,hierarchy,1.0
37,4,device,plc,hierarchy,1.0
4,38,plc,device,hierarchy,1.0
38,4,device,plc,hierarchy,1.0
4,39,plc,device,hierarchy,1.0
39,4,device,plc,hierarchy,1.0
4,40,plc,device,hierarchy,1.0
40,4,device,plc,hierarchy,1.0
5,41,plc,device,hierarchy,1.0
41,5,device,plc,hierarchy,1.0
5,42,plc,device,hierarchy,1.0
42,5,device,plc,hierarchy,1.0
5,43,plc,device,hierarchy,1.0
43,5,device,plc,hierarchy,1.0
5,44,plc,device,hierarchy,1.0
44,5,device,plc,hierarchy,1.0
5,45,plc,device,hierarchy,1.0
45,5,device,plc,hierarchy,1.0
5,46,plc,device,hierarchy,1.0
46,5,device,plc,hierarchy,1.0
5,47,plc,device,hierarchy,1.0
47,5,device,plc,hierarchy,1.0
5,48,plc,device,hierarchy,1.0
48,5,device,plc,hierarchy,1.0
5,49,plc,device,hierarchy,1.0
49,5,device,plc,hierarchy,1.0
5,50,plc,device,hierarchy,1.0
50,5,device,plc,hierarchy,1.0
5,51,plc,device,hierarchy,1.0
51,5,device,plc,hierarchy,1.0
5,52,plc,device,hierarchy,1.0
52,5,device,plc,hierarchy,1.0
5,53,plc,device,hierarchy,1.0
53,5,device,plc,hierarchy,1.0
6,54,plc,device,hierarchy,1.0
54,6,device,plc,hierarchy,1.0
6,55,plc,device,hierarchy,1.0
55,6,device,plc,hierarchy,1.0
6,56,plc,device,hierarchy,1.0
56,6,device,plc,hierarchy,1.0
6,57,plc,device,hierarchy,1.0
57,6,device,plc,hierarchy,1.0
