src_global,dst_global,src_type,dst_type,edge_type,weight
7,8,device,device,flow,-0.8061658895185156
8,7,device,device,flow,-0.8061658895185156
7,9,device,device,flow,0.9850704406570038
9,7,device,device,flow,0.9850704406570038
7,35,device,device,flow,0.8288881289455158
35,7,device,device,flow,0.8288881289455158
8,9,device,device,flow,-0.7805616824564178
9,8,device,device,flow,-0.7805616824564178
8,33,device,device,flow,-0.7575049589724239
33,8,device,device,flow,-0.7575049589724239
8,35,device,device,flow,-0.7916497850731797
35,8,device,device,flow,-0.7916497850731797
8,42,device,device,flow,-0.8685363234235406
42,8,device,device,flow,-0.8685363234235406
9,35,device,device,flow,0.8135351030424094
35,9,device,device,flow,0.8135351030424094
10,13,device,device,flow,-0.8960663869530597
13,10,device,device,flow,-0.8960663869530597
10,14,device,device,flow,0.811456969161427
14,10,device,device,flow,0.811456969161427
10,15,device,device,flow,0.9801894358506247
15,10,device,device,flow,0.9801894358506247
10,16,device,device,flow,0.955032937697917
16,10,device,device,flow,0.955032937697917
10,19,device,device,flow,0.9335341149497972
19,10,device,device,flow,0.9335341149497972
10,21,device,device,flow,0.9335341149497972
21,10,device,device,flow,0.9335341149497972
13,14,device,device,flow,-0.7669021593212371
14,13,device,device,flow,-0.7669021593212371
13,15,device,device,flow,-0.9435836239658787
15,13,device,device,flow,-0.9435836239658787
13,16,device,device,flow,-0.8578840061385766
16,13,device,device,flow,-0.8578840061385766
13,19,device,device,flow,-0.9610689975048015
19,13,device,device,flow,-0.9610689975048015
13,21,device,device,flow,-0.9610689975048015
21,13,device,device,flow,-0.9610689975048015
14,15,device,device,flow,0.8630464001196915
15,14,device,device,flow,0.8630464001196915
14,16,device,device,flow,0.7736668636790558
16,14,device,device,flow,0.7736668636790558
14,19,device,device,flow,0.8620970311143181
19,14,device,device,flow,0.8620970311143181
14,21,device,device,flow,0.8620970311143181
21,14,device,device,flow,0.8620970311143181
15,16,device,device,flow,0.9361131964208843
16,15,device,device,flow,0.9361131964208843
15,19,device,device,flow,0.9856352149243498
19,15,device,device,flow,0.9856352149243498
15,21,device,device,flow,0.9856352149243498
21,15,device,device,flow,0.9856352149243498
16,19,device,device,flow,0.8915558282417286
19,16,device,device,flow,0.8915558282417286
16,21,device,device,flow,0.8915558282417286
21,16,device,device,flow,0.8915558282417286
19,21,device,device,flow,1.0
21,19,device,device,flow,1.0
23,24,device,device,flow,0.9431599805106325
24,23,device,device,flow,0.9431599805106325
23,27,device,device,flow,0.8701107231722336
27,23,device,device,flow,0.8701107231722336
23,31,device,device,flow,0.8757899144886128
31,23,device,device,flow,0.8757899144886128
24,27,device,device,flow,0.7711592186523271
27,24,device,device,flow,0.7711592186523271
24,31,device,device,flow,0.9122688585601275
31,24,device,device,flow,0.9122688585601275
25,35,device,device,flow,0.7954919591562327
35,25,device,device,flow,0.7954919591562327
25,41,device,device,flow,0.764799317417237
41,25,device,device,flow,0.764799317417237
26,56,device,device,flow,0.776435305284134
56,26,device,device,flow,0.776435305284134
27,31,device,device,flow,0.8456189940739919
31,27,device,device,flow,0.8456189940739919
28,31,device,device,flow,-0.7557086549031778
31,28,device,device,flow,-0.7557086549031778
33,35,device,device,flow,0.8099705406940646
35,33,device,device,flow,0.8099705406940646
33,42,device,device,flow,0.8669051097259014
42,33,device,device,flow,0.8669051097259014
35,41,device,device,flow,0.8018751327700447
41,35,device,device,flow,0.8018751327700447
35,42,device,device,flow,0.837456013445467
42,35,device,device,flow,0.837456013445467
51,53,device,device,flow,0.9377105733403466
53,51,device,device,flow,0.9377105733403466
54,56,device,device,flow,0.777793686266025
56,54,device,device,flow,0.777793686266025
